state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence
1,1,1,0,1,0.5,1,1,0.1,0.130489501757073,NaN,NaN,0.5,NaN
1,1,1,0,1,0.666666666666667,2,1,0.0473684210526316,0.0653088942982642,NaN,NaN,0.333333333333333,NaN
0,0,1,1,0,0.75,3,1,-0.068421052631579,-0.0739727934398711,NaN,NaN,0.75,NaN
0,0,1,1,0,0.8,4,1,-0.0473684210526316,-0.0479893928441023,NaN,NaN,0.8,NaN
0,0,1,1,0,0.833333333333333,5,1,-0.0578947368421053,-0.0382707865387359,NaN,NaN,0.833333333333333,NaN
1,1,1,0,1,0.857142857142857,6,1,0.0473684210526316,0.0574921429475284,NaN,NaN,0.142857142857143,NaN
1,1,1,0,1,0.875,7,1,0.0894736842105263,0.0296404484449752,NaN,NaN,0.125,NaN
0,0,1,1,0,0.888888888888889,8,1,-0.1,-0.0474720473854609,NaN,NaN,0.888888888888889,NaN
0,0,1,1,0,0.9,9,1,-0.0473684210526316,-0.0470890820945094,NaN,NaN,0.9,NaN
1,1,1,0,1,0.909090909090909,10,1,0.0789473684210526,0.0436655132110854,NaN,NaN,0.0909090909090909,NaN
1,1,1,0,1,0.916666666666667,11,1,0.1,0.0569435874764731,NaN,NaN,0.0833333333333334,NaN
1,1,1,0,1,0.923076923076923,12,1,0.068421052631579,0.0890374764035627,NaN,NaN,0.0769230769230768,NaN
0,0,1,1,0,0.928571428571428,13,1,-0.0789473684210526,-0.0904397962628668,NaN,NaN,0.928571428571428,NaN
0,0,1,1,0,0.933333333333333,14,1,-0.0894736842105263,-0.110115327418254,NaN,NaN,0.933333333333333,NaN
1,1,1,0,1,0.9375,15,1,0.0789473684210526,0.118123814165557,NaN,NaN,0.0625,NaN
0,0,1,1,0,0.941176470588235,16,1,-0.0789473684210526,-0.0817479905882711,NaN,NaN,0.941176470588235,NaN
0,0,1,1,0,0.944444444444444,17,1,-0.1,-0.100824601023029,NaN,NaN,0.944444444444444,NaN
0,0,1,1,0,0.947368421052632,18,1,-0.1,-0.0571284035034217,NaN,NaN,0.947368421052632,NaN
0,0,1,1,0,0.95,19,1,-0.068421052631579,-0.0518229776534015,NaN,NaN,0.95,NaN
0,0,1,1,0,0.952380952380952,20,1,-0.0578947368421053,-0.0369256346330285,NaN,NaN,0.952380952380952,NaN
0,0,1,1,0,0.954545454545455,21,1,-0.0894736842105263,-0.0564702176357731,NaN,NaN,0.954545454545455,NaN
