ID	choice	rt	condition_int	state	contrast_left	contrast_right	reward	trials	blocks	contrast	ecoperf
28	0	460	4	0	0.123581955992952	0.876418044007047	1	1	1	1	0
28	0	404.10000000149	4	1	0.828431399796272	0.171568600203727	0	2	1	1	1
28	1	392.199999995529	4	0	0.147287464397465	0.852712535602534	1	3	1	1	1
28	1	342.899999998509	4	0	0.171291405318048	0.828708594681951	1	4	1	1	1
28	0	350.399999998509	4	1	0.819015710937363	0.180984289062636	0	5	1	1	1
28	1	419	4	0	0.174845592658029	0.82515440734197	1	6	1	1	1
28	0	406.5	4	1	0.84006362033724	0.159936379662759	0	7	1	1	1
28	1	427.699999995529	4	0	0.122608739432853	0.877391260567146	1	8	1	1	1
28	1	386.799999997019	4	0	0.160806398800607	0.839193601199392	1	9	1	1	1
28	1	414.699999995529	4	0	0.195738014897997	0.804261985102002	1	10	1	1	1
28	0	354	4	1	0.817769472900103	0.182230527099896	0	11	1	1	1
28	0	423	4	1	0.825019889867468	0.174980110132531	0	12	1	1	1
28	1	423.5	4	0	0.180414501787045	0.819585498212954	1	13	1	1	1
28	1	341.20000000298	4	0	0.170316821942109	0.82968317805789	1	14	1	1	1
28	0	301.5	4	1	0.813311455651498	0.186688544348501	0	15	1	1	1
28	0	347.199999995529	4	1	0.810796696286392	0.189203303713608	0	16	1	1	1
28	1	260.30000000447	4	0	0.189682491680137	0.810317508319862	1	17	1	1	1
28	0	268.299999997019	4	1	0.850370267530733	0.149629732469266	0	18	1	1	1
28	0	312.399999998509	4	1	0.840639352719195	0.159360647280804	0	19	1	1	1
28	1	293.899999998509	4	0	0.16472458527349	0.835275414726509	1	20	1	1	1
28	1	325.5	4	0	0.121473398567561	0.878526601432438	1	21	1	1	1
28	0	281.60000000149	4	1	0.874076112755865	0.125923887244134	0	22	1	1	1
28	1	322.5	4	0	0.185163719401797	0.814836280598202	1	23	1	1	1
28	0	272	4	1	0.820398526072294	0.179601473927705	0	24	1	1	1
28	0	363.70000000298	4	1	0.813006207658691	0.186993792341308	0	25	1	1	1
28	1	374.5	3	1	0.843522540823613	0.156477459176386	1	1	2	0	1
28	1	473.40000000596	3	1	0.86143482937453	0.13856517062547	1	2	2	0	1
28	0	360.70000000298	3	0	0.146689635318872	0.853310364681127	0	3	2	0	1
28	0	369.70000000298	3	0	0.150296058097956	0.849703941902043	0	4	2	0	1
28	0	367.399999998509	3	0	0.184447221593229	0.815552778406771	0	5	2	0	1
28	0	396.5	3	0	0.195667260770483	0.804332739229516	0	6	2	0	1
28	0	309	3	0	0.137038956084284	0.862961043915715	0	7	2	0	1
28	1	385.799999997019	3	1	0.847391684763702	0.152608315236297	1	8	2	0	1
28	1	365.10000000149	3	1	0.857951031636944	0.142048968363055	1	9	2	0	1
28	1	365.90000000596	3	1	0.822594779975995	0.177405220024004	1	10	2	0	1
28	1	349.5	3	1	0.813602884811677	0.186397115188322	1	11	2	0	1
28	0	399.5	3	0	0.121421455415926	0.878578544584073	0	12	2	0	1
28	1	333.40000000596	3	1	0.817511483095941	0.182488516904058	1	13	2	0	1
28	0	318.20000000298	3	0	0.134138403599379	0.86586159640062	0	14	2	0	1
28	1	362.899999998509	3	1	0.811783382315733	0.188216617684266	1	15	2	0	1
28	1	302.799999997019	3	1	0.869473989861407	0.130526010138592	1	16	2	0	1
28	0	374.799999997019	3	0	0.127327927819943	0.872672072180056	0	17	2	0	1
28	1	310.199999995529	3	1	0.805759266440222	0.194240733559777	1	18	2	0	1
28	1	288.5	3	0	0.151575807335912	0.848424192664087	0	19	2	0	0
28	1	362	3	1	0.82020429818898	0.179795701811019	1	20	2	0	1
28	1	327.599999994039	3	1	0.85706049513921	0.142939504860789	1	21	2	0	1
28	0	404.799999997019	3	0	0.191007777044033	0.808992222955966	0	22	2	0	1
28	1	341.70000000298	3	1	0.838623172574202	0.161376827425797	1	23	2	0	1
28	0	365.299999997019	3	0	0.188428490249404	0.811571509750595	0	24	2	0	1
28	1	285	3	0	0.132180009171284	0.867819990828715	0	25	2	0	0
28	0	374.10000000149	1	0	0.440915440770001	0.559084559229998	1	1	3	1	0
28	1	807.299999997019	1	0	0.465841121155067	0.534158878844933	1	2	3	1	1
28	1	516	1	1	0.546680138306228	0.453319861693771	0	3	3	1	0
28	1	540.399999998509	1	0	0.435296489862333	0.564703510137666	1	4	3	1	1
